@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {2befe3dcb10c2ad0,Others}

@data
1,0.013072,3.666667,3,104,107,33.768772,1,2,2befe3dcb10c2ad0
1,0.013725,3.75,3.25,96,33,41.89002,1,2,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,112,108,16.408648,1,2,2befe3dcb10c2ad0
1,0.015359,4.166666,3.666667,97,90,0.102625,1,2,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,106,64,14.42491,1,2,2befe3dcb10c2ad0
1,0.012157,3.2,3,99,0,76.67274,1,1,2befe3dcb10c2ad0
1,0.015686,4.2,3.8,72,98,82.37943,1,1,2befe3dcb10c2ad0
1,0.017255,4.6,4.2,94,157,88.41379,1,1,2befe3dcb10c2ad0
1,0.017647,4.8,4.2,113,123,1.707406,1,1,2befe3dcb10c2ad0
1,0.016247,4.428571,3.857143,84,57,63.788376,1,1,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,63,38,16.951384,1,1,2befe3dcb10c2ad0
1,0.017647,4.5,4.5,72,83,22.981358,1,1,2befe3dcb10c2ad0
1,0.012745,3.5,3,94,0,35.618374,1,2,2befe3dcb10c2ad0
1,0.013333,3.6,3.2,77,185,18.91829,1,2,2befe3dcb10c2ad0
1,0.013725,3.6,3.4,120,613,62.325462,1,2,2befe3dcb10c2ad0
1,0.015033,4.166666,3.5,135,223,51.71231,1,2,2befe3dcb10c2ad0
1,0.016176,4.25,4,77,401,43.61448,1,2,2befe3dcb10c2ad0
1,0.01732,4.666666,4.166666,126,182,10.669415,1,2,2befe3dcb10c2ad0
1,0.016176,4.5,3.75,105,49,87.48726,1,2,2befe3dcb10c2ad0
1,0.016912,4.5,4.125,201,0,95.404106,1,1,2befe3dcb10c2ad0
1,0.013333,3.6,3.2,95,215,9.940207,1,1,2befe3dcb10c2ad0
1,0.01451,3.8,3.6,134,55,50.362038,1,1,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,123,97,44.5048,1,1,2befe3dcb10c2ad0
1,0.012255,3.5,2.75,83,17,102.39627,1,1,2befe3dcb10c2ad0
1,0.014379,4.333334,3,89,123,51.20123,1,1,2befe3dcb10c2ad0
1,0.017647,5,4,86,69,81.341286,1,1,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,84,153,38.528442,1,1,2befe3dcb10c2ad0
1,0.017647,5,4,102,0,36.96107,1,1,2befe3dcb10c2ad0
1,0.015686,4.4,3.6,109,29,124.66565,1,1,2befe3dcb10c2ad0
1,0.018039,4.8,4.4,106,133,2.448099,1,1,2befe3dcb10c2ad0
1,0.016176,4.5,3.75,96,90,23.125843,1,1,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,72,99,41.334362,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,81,155,5.168485,1,1,2befe3dcb10c2ad0
1,0.015686,4.6,3.4,112,112,77.74081,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,48,58,18.182266,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,86,0,26.568005,1,2,2befe3dcb10c2ad0
1,0.016078,4.4,3.8,74,64,26.802395,1,2,2befe3dcb10c2ad0
1,0.015033,4,3.666667,85,239,17.514994,1,2,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,90,123,22.490313,1,2,2befe3dcb10c2ad0
1,0.01634,4.333334,4,78,198,36.153877,1,2,2befe3dcb10c2ad0
1,0.014902,4,3.6,89,72,20.430573,1,2,2befe3dcb10c2ad0
1,0.014379,4,3.333333,69,190,65.22475,1,2,2befe3dcb10c2ad0
1,0.017255,4.6,4.2,80,100,69.142395,1,2,2befe3dcb10c2ad0
1,0.014379,4.333334,3,63,0,13.00643,1,2,2befe3dcb10c2ad0
1,0.014216,4,3.25,113,173,74.1735,1,2,2befe3dcb10c2ad0
1,0.014379,4,3.333333,122,121,18.63512,1,2,2befe3dcb10c2ad0
1,0.013725,3.75,3.25,104,90,14.065436,1,2,2befe3dcb10c2ad0
1,0.013725,4,3,62,166,64.99972,1,2,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,90,163,5.181295,1,2,2befe3dcb10c2ad0
1,0.016993,4.666666,4,64,253,39.814915,1,2,2befe3dcb10c2ad0
1,0.014118,3.8,3.4,79,159,76.62524,1,2,2befe3dcb10c2ad0
1,0.018301,5,4.333334,95,0,13.202929,1,1,2befe3dcb10c2ad0
1,0.018301,5,4.333334,105,148,9.648459,1,1,2befe3dcb10c2ad0
1,0.018627,5,4.5,89,80,3.714311,1,1,2befe3dcb10c2ad0
1,0.018627,5,4.5,94,92,90.13083,1,1,2befe3dcb10c2ad0
