@RELATION touch 

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{e6c172ca6be05a41,Others}

@DATA
0.4967321,0.027450984,7.0,7.0,62,365,44.09191,1,1,e6c172ca6be05a41
0.3494118,0.025490198,6.5,6.5,131,115,49.994694,1,1,e6c172ca6be05a41
0.42745104,0.030588236,7.8,7.8,80,266,87.44256,1,1,e6c172ca6be05a41
0.4888889,0.041830067,10.666667,10.666667,109,127,197.04094,1,1,e6c172ca6be05a41
0.49803925,0.044117652,11.25,11.25,103,116,33.32351,1,1,e6c172ca6be05a41
0.3512605,0.037535015,9.571428,9.571428,108,0,118.497055,1,2,e6c172ca6be05a41
0.36688456,0.03747277,9.555555,9.555555,117,293,165.06247,1,2,e6c172ca6be05a41
0.48333338,0.034313727,8.75,8.75,98,83,0.8104261,1,2,e6c172ca6be05a41
0.49725494,0.03529412,9.0,9.0,79,734,54.301388,1,2,e6c172ca6be05a41
0.49705887,0.042156864,10.75,10.75,111,14,7.354895,1,2,e6c172ca6be05a41
0.49738565,0.041830067,10.666667,10.666667,89,1349,10.473196,1,2,e6c172ca6be05a41
0.4967321,0.03660131,9.333333,9.333333,21,225,65.941315,1,2,e6c172ca6be05a41
0.49705887,0.046078436,11.75,11.75,117,119,13.593447,1,2,e6c172ca6be05a41
0.4967321,0.040522877,10.333333,10.333333,99,0,12.258291,1,2,e6c172ca6be05a41
0.49542487,0.03529412,9.0,9.0,72,128,0.8603146,1,2,e6c172ca6be05a41
0.49542487,0.03529412,9.0,9.0,78,105,14.264279,1,2,e6c172ca6be05a41
0.4745098,0.02901961,7.4,7.4,71,884,42.954754,1,2,e6c172ca6be05a41
0.49176472,0.029803922,7.6,7.6,99,83,47.11039,1,2,e6c172ca6be05a41
0.49803925,0.043137264,11.0,11.0,97,2358,60.415947,1,2,e6c172ca6be05a41
0.49725494,0.03764706,9.6,9.6,126,57,22.203697,1,2,e6c172ca6be05a41
0.4967321,0.03398693,8.666667,8.666667,73,92,30.43442,1,2,e6c172ca6be05a41
0.4967321,0.03529412,9.0,9.0,81,0,66.28575,1,1,e6c172ca6be05a41
0.49647063,0.030588236,7.8,7.8,63,219,21.247746,1,1,e6c172ca6be05a41
0.39607844,0.026330533,6.714286,6.714286,96,958,67.57528,1,1,e6c172ca6be05a41
0.48039222,0.03267974,8.333333,8.333333,81,230,148.5562,1,1,e6c172ca6be05a41
0.49647063,0.03529412,9.0,9.0,134,2850,13.777835,1,1,e6c172ca6be05a41
0.4960785,0.044117652,11.25,11.25,107,167,49.850426,1,1,e6c172ca6be05a41
0.49647063,0.043137256,11.0,11.0,100,137,4.155353,1,1,e6c172ca6be05a41
0.49607846,0.033333335,8.5,8.5,87,576,0.96143466,1,1,e6c172ca6be05a41
0.4967321,0.030065363,7.6666665,7.6666665,52,467,32.963593,1,1,e6c172ca6be05a41
0.4967321,0.028758174,7.3333335,7.3333335,98,0,77.676445,1,2,e6c172ca6be05a41
0.49542487,0.024836605,6.3333335,6.3333335,41,113,25.45962,1,2,e6c172ca6be05a41
0.49542487,0.027450984,7.0,7.0,44,876,15.53526,1,2,e6c172ca6be05a41
0.49542487,0.027450984,7.0,7.0,36,201,42.72201,1,2,e6c172ca6be05a41
0.49705887,0.027450982,7.0,7.0,87,1123,83.64495,1,2,e6c172ca6be05a41
