@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.168627,0.064628,123,63,75,95,8.400365,1,2,fb58815420addb16
0.173669,0.075052,133.71428,82.28571,91,470,64.64386,1,2,fb58815420addb16
0.170308,0.07118,132,72.85714,87,0,21.281446,1,2,fb58815420addb16
0.171242,0.066713,117,75,72,140,49.725395,1,2,fb58815420addb16
0.163137,0.045031,76.8,52.8,54,260,45.176632,1,2,fb58815420addb16
0.167647,0.058895,94.5,75,98,124,3.017137,1,2,fb58815420addb16
0.166013,0.063238,107.6,74.4,184,1547,9.255289,1,2,fb58815420addb16
0.163137,0.047116,78,57.6,56,105,21.188112,1,2,fb58815420addb16
0.171429,0.065522,112.28571,76.28571,73,209,16.269129,1,2,fb58815420addb16
0.178151,0.075946,123.42857,95.14286,96,0,6.491451,1,1,fb58815420addb16
0.169118,0.049253,78,63.75,108,114,97.223694,1,1,fb58815420addb16
0.167647,0.05681,93,70.5,102,9,1.218117,1,1,fb58815420addb16
0.167157,0.064628,104.25,81.75,89,625,17.757416,1,1,fb58815420addb16
0.168627,0.075052,124,92,50,645,28.571121,1,1,fb58815420addb16
0.169608,0.075313,136.5,80.25,96,279,14.202312,1,1,fb58815420addb16
0.163399,0.069493,120,80,129,228,3.478221,1,1,fb58815420addb16
0.17591,0.080115,128.57143,102,73,200,1.878925,1,1,fb58815420addb16
0.168627,0.059208,97.2,73.2,35,167,47.884174,1,1,fb58815420addb16
0.169935,0.076789,133,88,88,0,4.225017,1,1,fb58815420addb16
0.167507,0.058076,98.57143,68.57143,82,174,14.118944,1,1,fb58815420addb16
0.170588,0.060806,94,81,73,131,34.915924,1,1,fb58815420addb16
0.17535,0.082796,136.28572,102,90,97,78.63457,1,1,fb58815420addb16
0.170098,0.077919,135.75,88.5,101,104,66.79631,1,1,fb58815420addb16
0.173203,0.078179,139,86,60,9,66.79631,1,1,fb58815420addb16
0.164706,0.0713,112.8,92.4,46,122,3.043999,1,1,fb58815420addb16
0.159477,0.059069,102,68,76,0,58.950214,1,1,fb58815420addb16
